?cls	?pred	?val	?synType
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000244>	<http://www.w3.org/2000/01/rdf-schema#label>	"service specification"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"file data item"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010023>	<http://www.w3.org/2000/01/rdf-schema#label>	"course"@en	
<http://purl.obolibrary.org/obo/BFO_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"object"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000107>	<http://www.w3.org/2000/01/rdf-schema#label>	"collection"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000227>	<http://www.w3.org/2000/01/rdf-schema#label>	"workflow process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010018>	<http://www.w3.org/2000/01/rdf-schema#label>	"construction engineering"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001063>	<http://www.w3.org/2000/01/rdf-schema#label>	"artificial intelligence"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000145>	<http://www.w3.org/2000/01/rdf-schema#label>	"media type"@en	
<http://purl.obolibrary.org/obo/BFO_0000182>	<http://www.w3.org/2000/01/rdf-schema#label>	"history"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000159>	<http://www.w3.org/2000/01/rdf-schema#label>	"process engineering"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001011>	<http://www.w3.org/2000/01/rdf-schema#label>	"GeoNames identifier"@en	
<http://purl.obolibrary.org/obo/IAO_0000304>	<http://www.w3.org/2000/01/rdf-schema#label>	"caption"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010022>	<http://www.w3.org/2000/01/rdf-schema#label>	"lecture"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001021>	<http://www.w3.org/2000/01/rdf-schema#label>	"act of dissolution"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000224>	<http://www.w3.org/2000/01/rdf-schema#label>	"creative process"@en	
<http://purl.obolibrary.org/obo/BFO_0000145>	<http://www.w3.org/2000/01/rdf-schema#label>	"relational quality"@en	
